Nama Pantai,Provinsi,Rating Angka,Link Google Maps,Latitude,Longitude,Predikat,Jumlah Ulasan,Ulasan 1,Ulasan 2,Ulasan 3,Ulasan 4,Ulasan 5,Kategori Pantai,Kategori 1,Kategori 2,Kategori 3,Kategori 4,Kategori 5
Pantai Sawadi Kuma,Papua Tengah,5.0,https://www.google.com/maps/place/Pantai+Sawadi+Kuma/data=!4m7!3m6!1s0x681fab006b7c5db7:0x95d079167872565f!8m2!3d-3.1985533!4d135.5945126!16s%2Fg%2F11yyc4cmhf!19sChIJt118awCrH2gRX1ZyeBZ50JU?authuser=0&hl=en&rclk=1,-3.1985533,135.5945126,bagus,0.0,mustakdir mustakdir 18 photos,,,,,,,,,,
Pantai Wisata Marthen Waray,Papua Tengah,5.0,https://www.google.com/maps/place/Pantai+Wisata+Marthen+Waray/data=!4m7!3m6!1s0x681fa9aca12b828b:0x1ddf44753c97718c!8m2!3d-3.2473512!4d135.5644125!16s%2Fg%2F11ngnpy9ck!19sChIJi4IroaypH2gRjHGXPHVE3x0?authuser=0&hl=en&rclk=1,-3.2473512,135.5644125,bagus,3.0,SIBELA MOUNTAIN SILVA 2 reviews,Kimitius Nepurs 7 photos,,,,,,,,,
Pantai okomo,Papua Tengah,5.0,https://www.google.com/maps/place/Pantai+okomo/data=!4m7!3m6!1s0x68222900343b24c1:0xc12f52dbd356733d!8m2!3d-4.0322229!4d136.2617695!16s%2Fg%2F11y9s2hcg9!19sChIJwSQ7NAApImgRPXNW09tSL8E?authuser=0&hl=en&rclk=1,-4.0322229,136.2617695,bagus,2.0,Pekei Black 1 review · 3 photos,Simon Pekei 11 photos,,,,,,,,,
Pantai Aurora Sangari,Papua Tengah,5.0,https://www.google.com/maps/place/Pantai+Aurora+Sangari/data=!4m7!3m6!1s0x681fa9ffe2aafdbd:0xdc05d344a5a56312!8m2!3d-3.2477061!4d135.5637621!16s%2Fg%2F11kq4jb8rm!19sChIJvf2q4v-pH2gREmOlpUTTBdw?authuser=0&hl=en&rclk=1,-3.2477061,135.5637621,bagus,3.0,Anonymous 007 1 review · 11 photos,Morin Elga 1 review · 7 photos,Sarahshela Sangari 3 photos,,,,,,,,
Pantai Riki,Papua Tengah,5.0,https://www.google.com/maps/place/Pantai+Riki/data=!4m7!3m6!1s0x681fa9a4c62416e5:0xaebca8cbfafae86c!8m2!3d-3.2403545!4d135.5697337!16s%2Fg%2F11v3pgcrpl!19sChIJ5RYkxqSpH2gRbOj6-suovK4?authuser=0&hl=en&rclk=1,-3.2403545,135.5697337,bagus,9.0,white sand 3,cool beach 2,clear water 2,sand 4,Selfi Menanti 2 reviews · 14 photos,,,,,,
Pantai Malaworsai,Papua Barat Daya,5.0,https://www.google.com/maps/place/Pantai+Malaworsai/data=!4m7!3m6!1s0x2d590b00774adc4b:0xa2d543646b99a3a7!8m2!3d-0.6437203!4d131.9175394!16s%2Fg%2F11m6v2pf3c!19sChIJS9xKdwALWS0Rp6OZa2RD1aI?authuser=0&hl=en&rclk=1,-0.6437203,131.9175394,bagus,2.0,Mohammad Syaban 2 reviews · 27 photos,,,,,,,,,,
Pantai SOA ( Hiu Paus,Papua Tengah,5.0,https://www.google.com/maps/place/Pantai+SOA+%28+Hiu+Paus/data=!4m7!3m6!1s0x681fdf007ca711c1:0xdead90dd4366f39d!8m2!3d-3.3399267!4d135.017021!16s%2Fg%2F11y5vhlvym!19sChIJwRGnfADfH2gRnfNmQ92Qrd4?authuser=0&hl=en&rclk=1,-3.3399267,135.017021,bagus,2.0,,,,,,,,,,,
Pantai Timuka,Papua Tengah,5.0,https://www.google.com/maps/place/Pantai+Timuka/data=!4m7!3m6!1s0x68247314ba5753db:0x2d23f3ead2eebb!8m2!3d-4.78465!4d136.5380231!16s%2Fg%2F11spdd78px!19sChIJ21NXuhRzJGgRu-7S6vMjLQA?authuser=0&hl=en&rclk=1,-4.78465,136.5380231,bagus,0.0,,,,,,,,,,,
Pantai Dallson,Papua Tengah,5.0,https://www.google.com/maps/place/Pantai+Dallson/data=!4m7!3m6!1s0x681fa90021ac67dd:0xed9e420b2ac5245a!8m2!3d-3.2085654!4d135.5905614!16s%2Fg%2F11vxcrxfjl!19sChIJ3WesIQCpH2gRWiTFKgtCnu0?authuser=0&hl=en&rclk=1,-3.2085654,135.5905614,bagus,0.0,onaratus mote 2 photos,,,,,,,,,,
PANTAI SEMBOR,Papua Tengah,5.0,https://www.google.com/maps/place/PANTAI+SEMBOR/data=!4m7!3m6!1s0x681fa3006ce01655:0x450f3dca0f1c7530!8m2!3d-3.3686582!4d135.4810384!16s%2Fg%2F11w8qg1nrp!19sChIJVRbgbACjH2gRMHUcD8o9D0U?authuser=0&hl=en&rclk=1,-3.3686582,135.4810384,bagus,2.0,,,,,,,,,,,
Pantai Kampung Mibi Makbon,Papua Barat Daya,5.0,https://www.google.com/maps/place/Pantai+Kampung+Mibi+Makbon/data=!4m7!3m6!1s0x2d594300591d3173:0xe4f32b059c7f0a7c!8m2!3d-0.7660711!4d131.558008!16s%2Fg%2F11s36wbxlk!19sChIJczEdWQBDWS0RfAp_nAUr8-Q?authuser=0&hl=en&rclk=1,-0.7660711,131.558008,bagus,6.0,,,,,,,,,,,
PANTAI OMBAK DELLA,Papua Barat Daya,5.0,https://www.google.com/maps/place/PANTAI+OMBAK+DELLA/data=!4m7!3m6!1s0x2d59730060044b7f:0x8594fa4416bdf8fa!8m2!3d-0.7154164!4d131.8153663!16s%2Fg%2F11vr2rk016!19sChIJf0sEYABzWS0R-vi9FkT6lIU?authuser=0&hl=en&rclk=1,-0.7154164,131.8153663,bagus,46.0,,,,,,,,,,,
Pantai Alfa,Papua Tengah,5.0,https://www.google.com/maps/place/Pantai+Alfa/data=!4m7!3m6!1s0x681efd000e5ff569:0x9f335cabecc3918b!8m2!3d-3.148085!4d135.7031937!16s%2Fg%2F11y6rxdj3j!19sChIJafVfDgD9HmgRi5HD7KtcM58?authuser=0&hl=en&rclk=1,-3.148085,135.7031937,bagus,2.0,Max Puma 2 reviews · 16 photos,,,,,,,,,,
Pantai pasir putih,Sulawesi Tenggara,5.0,https://www.google.com/maps/place/Pantai+pasir+putih/data=!4m7!3m6!1s0x2da3890045963051:0xde791ba9ff8347c8!8m2!3d-5.3856457!4d122.5429309!16s%2Fg%2F11myjwrw0f!19sChIJUTCWRQCJoy0RyEeD_6kbed4?authuser=0&hl=en&rclk=1,-5.3856457,122.5429309,bagus,0.0,Mana Ramah 1 review,,,,,,,,,,
Pantai Emban,Papua Barat Daya,5.0,https://www.google.com/maps/place/Pantai+Emban/data=!4m7!3m6!1s0x2d58b5006c0c5319:0xe1265f962ca8e29d!8m2!3d-0.2121417!4d131.3055767!16s%2Fg%2F11y5zs188v!19sChIJGVMMbAC1WC0RneKoLJZfJuE?authuser=0&hl=en&rclk=1,-0.2121417,131.3055767,bagus,2.0,susan sulianto 8 reviews,Yudris Enjel 1 review,,,,,,,,,
Pantai Cinta,Papua Barat Daya,5.0,https://www.google.com/maps/place/Pantai+Cinta/data=!4m7!3m6!1s0x2d5eadd4b3ff76d7:0x5622903d3455df62!8m2!3d-0.819431!4d131.229103!16s%2Fg%2F11k0qwd9pg!19sChIJ13b_s9StXi0RYt9VND2QIlY?authuser=0&hl=en&rclk=1,-0.819431,131.229103,bagus,3.0,Rina Nai 4 reviews · 9 photos,,,,,,,,,,
PESISIR PANTAI MALAUMKARTA,Papua Barat Daya,5.0,https://www.google.com/maps/place/PESISIR+PANTAI+MALAUMKARTA/data=!4m7!3m6!1s0x2d59697cb6b47419:0x8abb8738ee2c459e!8m2!3d-0.7540548!4d131.6018799!16s%2Fg%2F11y1mtvz49!19sChIJGXS0tnxpWS0RnkUs7jiHu4o?authuser=0&hl=en&rclk=1,-0.7540548,131.6018799,bagus,152.0,,,,,,,,,,,
Pantai ujung sapokren,Papua Barat Daya,5.0,https://www.google.com/maps/place/Pantai+ujung+sapokren/data=!4m7!3m6!1s0x2d5f03002b90aa1b:0x9eb601557829058!8m2!3d-0.4382392!4d130.7265903!16s%2Fg%2F11wvw9n858!19sChIJG6qQKwADXy0RWJCCVxVg6wk?authuser=0&hl=en&rclk=1,-0.4382392,130.7265903,bagus,6.0,Nicole De Windt 5 reviews,Nadus Padwa 1 review · 5 photos,Vladimir Shmidt 2 reviews · 4 photos,,,,,,,,
Pantai Warmandi,Papua Barat Daya,5.0,https://www.google.com/maps/place/Pantai+Warmandi/data=!4m7!3m6!1s0x2d5784385dc355ad:0xf3c4fd6768195be2!8m2!3d-0.3673776!4d132.6476038!16s%2Fg%2F11c2pwjd94!19sChIJrVXDXTiEVy0R4lsZaGf9xPM?authuser=0&hl=en&rclk=1,-0.3673776,132.6476038,bagus,3.0,,,,,,,,,,,
Pantai Do Insarwai,Papua Barat Daya,5.0,https://www.google.com/maps/place/Pantai+Do+Insarwai/data=!4m7!3m6!1s0x2d5eadedb98f35eb:0xb0d76af0baf607b1!8m2!3d-0.8183631!4d131.2384654!16s%2Fg%2F11l5xhljq9!19sChIJ6zWPue2tXi0RsQf2uvBq17A?authuser=0&hl=en&rclk=1,-0.8183631,131.2384654,bagus,2.0,Robert Arnold Sitorus 1 review · 1 photo,Kasman Nak Tungke 4 reviews · 3 photos,,,,,,,,,
Pantai Pota,Nusa Tenggara Timur,5.0,https://www.google.com/maps/place/Pantai+Pota/data=!4m7!3m6!1s0x2db3b1000823763b:0x46c3afc904a3fa0a!8m2!3d-8.343827!4d120.756236!16s%2Fg%2F11mlgws_pz!19sChIJO3YjCACxsy0RCvqjBMmvw0Y?authuser=0&hl=en&rclk=1,-8.343827,120.756236,bagus,0.0,,,,,,,,,,,
Pantai Indah Pertamina,Sumatera Selatan,5.0,https://www.google.com/maps/place/Pantai+Indah+Pertamina/data=!4m7!3m6!1s0x2e3b77000b82388b:0x829a1c94fe636a3c!8m2!3d-2.9912174!4d104.8225351!16s%2Fg%2F11nc0l0q0_!19sChIJiziCCwB3Oy4RPGpj_pQcmoI?authuser=0&hl=en&rclk=1,-2.9912174,104.8225351,bagus,1.0,,,,,,,,,,,
Pantai gigi macan,Sumatera Selatan,5.0,https://www.google.com/maps/place/Pantai+gigi+macan/data=!4m7!3m6!1s0x2e3ca7d1a64e85b5:0xf257e62346db1e3d!8m2!3d-2.5294435!4d105.0583023!16s%2Fg%2F11vb1ft3k0!19sChIJtYVOptGnPC4RPR7bRiPmV_I?authuser=0&hl=en&rclk=1,-2.5294435,105.0583023,bagus,5.0,,,,,,,,,,,
Wisata sungai jadi pantai,Sumatera Selatan,5.0,https://www.google.com/maps/place/Wisata+sungai+jadi+pantai/data=!4m7!3m6!1s0x2e39133f3c71d01d:0xeaa9a2b79c5ba1f4!8m2!3d-3.9492759!4d104.5538744!16s%2Fg%2F11y1nmwktk!19sChIJHdBxPD8TOS4R9KFbnLeiqeo?authuser=0&hl=en&rclk=1,-3.9492759,104.5538744,bagus,1096.0,suspension bridge,waves,sea view,photo spots,sunset,,,,,,
Pantai bemoleh,Sumatera Selatan,5.0,https://www.google.com/maps/place/Pantai+bemoleh/data=!4m7!3m6!1s0x2e3a33003bbba719:0x298cf497bace3c0a!8m2!3d-3.4213707!4d104.2436833!16s%2Fg%2F11w327c0yd!19sChIJGae7OwAzOi4RCjzOupf0jCk?authuser=0&hl=en&rclk=1,-3.4213707,104.2436833,bagus,1.0,,,,,,,,,,,
pantai cendrawasih 2,Sulawesi Barat,5.0,https://www.google.com/maps/place/pantai+cendrawasih+2/data=!4m7!3m6!1s0x2d948f00559c50b7:0xdb2c6af024d1a646!8m2!3d-3.4280011!4d119.3177629!16s%2Fg%2F11nb2xk6jp!19sChIJt1CcVQCPlC0RRqbRJPBqLNs?authuser=0&hl=en&rclk=1,-3.4280011,119.3177629,bagus,3.0,pantai cendrawasih,Bridov B  review ·  photos,Muhammad syawal al furqan Al  photos,,,,,,,,
PANTAI DESA PANDAN PALI,Sumatera Selatan,5.0,https://www.google.com/maps/place/PANTAI+DESA+PANDAN+PALI/data=!4m7!3m6!1s0x2e3a4b006204102b:0x92a8d0bf411beeb3!8m2!3d-3.3046778!4d104.2151861!16s%2Fg%2F11ntdz_ltj!19sChIJKxAEYgBLOi4Rs-4bQb_QqJI?authuser=0&hl=en&rclk=1,-3.3046778,104.2151861,bagus,3.0,,,,,,,,,,,
pantai jodoh,Sumatera Selatan,5.0,https://www.google.com/maps/place/pantai+jodoh/data=!4m7!3m6!1s0x2e3a4d54bb8b6907:0x259ea96923f7973c!8m2!3d-3.1685811!4d104.2680947!16s%2Fg%2F11q8k04tj7!19sChIJB2mLu1RNOi4RPJf3I2mpniU?authuser=0&hl=en&rclk=1,-3.1685811,104.2680947,bagus,547.0,trees,seats,train,ATV,pine trees,,,,,,
Pantai Kire,Sulawesi Barat,5.0,https://www.google.com/maps/place/Pantai+Kire/data=!4m7!3m6!1s0x2d8d6353b3a59f27:0x1e0be835449ef997!8m2!3d-2.1299996!4d119.1914332!16s%2Fg%2F11sb8phvhj!19sChIJJ5-ls1NjjS0Rl_meRDXoCx4?authuser=0&hl=en&rclk=1,-2.1299996,119.1914332,bagus,5.0,Asrul Latief  reviews ·  photos,Shla Sela  review,Usman Yusuf  review ·  photo,Andi A Syuhada  review ·  photos,,,,,,,
Pantai Tawaro,Sulawesi Barat,5.0,https://www.google.com/maps/place/Pantai+Tawaro/data=!4m7!3m6!1s0x2d92931e589ec0bd:0xb26579c8b7e9a50d!8m2!3d-2.3845145!4d119.1410567!16s%2Fg%2F11sszb2s__!19sChIJvcCeWB6Tki0RDaXpt8h5ZbI?authuser=0&hl=en&rclk=1,-2.3845145,119.1410567,bagus,3.0,,,,,,,,,,,
Pantai labuan,Sulawesi Barat,5.0,https://www.google.com/maps/place/Pantai+labuan/data=!4m7!3m6!1s0x2d932da90c5ae071:0x7eee3a053c4d6d15!8m2!3d-2.7963202!4d118.7624659!16s%2Fg%2F11vhwyqzs_!19sChIJceBaDKktky0RFW1NPAU67n4?authuser=0&hl=en&rclk=1,-2.7963202,118.7624659,bagus,4.0,Fahri Yul  reviews ·  photos,Abd Rajab  review ·  photos,Roy   photos,Youngki Tappi  photos,,,,,,,
"Pantai Tebing Karang, Labuang",Sulawesi Barat,5.0,"https://www.google.com/maps/place/Pantai+Tebing+Karang,+Labuang/data=!4m7!3m6!1s0x2d9495fdceb12cf5:0x72da24b300cfb109!8m2!3d-3.5151963!4d119.1054289!16s%2Fg%2F11s1pz1dbq!19sChIJ9Syxzv2VlC0RCbHPALMk2nI?authuser=0&hl=en&rclk=1",-3.5151963,119.1054289,bagus,49.0,,,,,,,,,,,
Pantai Serida,Sumatera Selatan,5.0,https://www.google.com/maps/place/Pantai+Serida/data=!4m7!3m6!1s0x2e3bed782f183f67:0x5199aca0b4d67482!8m2!3d-3.3669362!4d104.7756699!16s%2Fg%2F11qp9cp362!19sChIJZz8YL3jtOy4RgnTWtKCsmVE?authuser=0&hl=en&rclk=1,-3.3669362,104.7756699,bagus,3.0,,,,,,,,,,,
Pantai tawaro ujung,Sulawesi Barat,5.0,https://www.google.com/maps/place/Pantai+tawaro+ujung/data=!4m7!3m6!1s0x2d929561dccc9069:0xbbc92f1b6673e4a7!8m2!3d-2.3610102!4d119.1357744!16s%2Fg%2F11kqsrlpbv!19sChIJaZDM3GGVki0Rp-RzZhsvybs?authuser=0&hl=en&rclk=1,-2.3610102,119.1357744,bagus,3.0,made tommo  photos,,,,,,,,,,
Pantai Lematang Kuripan,Sumatera Selatan,5.0,https://www.google.com/maps/place/Pantai+Lematang+Kuripan/data=!4m7!3m6!1s0x2e3a3b8b3b79b3b3:0xa2508d99128eab29!8m2!3d-3.4073561!4d104.0645331!16s%2Fg%2F11v4lw_vfq!19sChIJs7N5O4s7Oi4RKauOEpmNUKI?authuser=0&hl=en&rclk=1,-3.4073561,104.0645331,bagus,2.0,,,,,,,,,,,
PANTAI JERMAN Objek Wisata Musiman,Sumatera Selatan,5.0,https://www.google.com/maps/place/PANTAI+JERMAN+Objek+Wisata+Musiman/data=!4m7!3m6!1s0x2e39730003f22671:0xef05500c6907b25b!8m2!3d-3.8843306!4d104.3814056!16s%2Fg%2F11nr3d38ty!19sChIJcSbyAwBzOS4RW7IHaQxQBe8?authuser=0&hl=en&rclk=1,-3.8843306,104.3814056,bagus,1577.0,kuta beach,beach cleanliness,sunset,quiet beach,airplane view,,,,,,
Irma Emas Beach,Papua Barat Daya,5.0,https://www.google.com/maps/place/Irma+Emas+Beach/data=!4m7!3m6!1s0x2d5ead037dc3cd4b:0xd25737d18a9ecced!8m2!3d-0.8171532!4d131.233564!16s%2Fg%2F11kjjwst81!19sChIJS83DfQOtXi0R7cyeitE3V9I?authuser=0&hl=en&rclk=1,-0.8171532,131.233564,bagus,2.0,IgnasZZ 1 review,yusuf roland 1 review · 2 photos,,,,,,,,,
Pantai ayik bayau,Sumatera Selatan,5.0,https://www.google.com/maps/place/Pantai+ayik+bayau/data=!4m7!3m6!1s0x2e373d82cd319cbd:0xe23c5c1aa49eb952!8m2!3d-3.9008212!4d103.0633805!16s%2Fg%2F11txn_p0bs!19sChIJvZwxzYI9Ny4RUrmepBpcPOI?authuser=0&hl=en&rclk=1,-3.9008212,103.0633805,bagus,2.0,,,,,,,,,,,
Pantai panjang sukarami,Sumatera Selatan,5.0,https://www.google.com/maps/place/Pantai+panjang+sukarami/data=!4m7!3m6!1s0x2e3a4d007aa92f0b:0x710b5427ddf980d0!8m2!3d-3.2031197!4d104.2630511!16s%2Fg%2F11w1jdg2n9!19sChIJCy-pegBNOi4R0ID53SdUC3E?authuser=0&hl=en&rclk=1,-3.2031197,104.2630511,bagus,1.0,,,,,,,,,,,
Pantai Desa Dangku,Sumatera Selatan,5.0,https://www.google.com/maps/place/Pantai+Desa+Dangku/data=!4m7!3m6!1s0x2e3a39962158b169:0x32002b396ebbf91b!8m2!3d-3.3804977!4d104.0929233!16s%2Fg%2F11tx7_x6ym!19sChIJabFYIZY5Oi4RG_m7bjkrADI?authuser=0&hl=en&rclk=1,-3.3804977,104.0929233,bagus,1.0,,,,,,,,,,,
Pantai Rantung,Nusa Tenggara Barat,5.0,https://www.google.com/maps/place/Pantai+Rantung/data=!4m7!3m6!1s0x2dccf39ac505cb5f:0xf79da06f84068fe6!8m2!3d-8.9791091!4d116.7368575!16s%2Fg%2F11t4b4nsb_!19sChIJX8sFxZrzzC0R5o8GhG-gnfc?authuser=0&hl=en&rclk=1,-8.9791091,116.7368575,bagus,8.0,beach 3,Frederic Schneider 2 photos,,,,,,,,,
Pantai Milango Gentuma Raya,Gorontalo,5.0,https://www.google.com/maps/place/Pantai+Milango+Gentuma+Raya/data=!4m7!3m6!1s0x32795395766b13e5:0x3f9a156f9a4468ba!8m2!3d0.9323956!4d123.0264255!16s%2Fg%2F11qsp0q_m6!19sChIJ5RNrdpVTeTIRumhEmm8Vmj8?authuser=0&hl=en&rclk=1,0.9323956,123.0264255,bagus,4.0,nusaibah yahya  reviews ·  photos,Karanji Gentuma  reviews ·  photos,,,,,,,,,
Pantai Pulo Buru Air Buaya Maluku Indonesia,Pulau Buru,5.0,https://www.google.com/maps/place/Pantai+Pulo+Buru+Air+Buaya+Maluku+Indonesia/data=!4m7!3m6!1s0x2d73db051aa8dccf:0x2a44b3013c024bc8!8m2!3d-3.0797561!4d126.4236551!16s%2Fg%2F11h6s0hmyx!19sChIJz9yoGgXbcy0RyEsCPAGzRCo?authuser=0&hl=en&rclk=1,-3.0797561,126.4236551,bagus,2.0,SOETHAR 486 Local Guide · 11 reviews · 173 photos,,,,,,,,,,
Pantai Pisa,Pulau Buru,5.0,https://www.google.com/maps/place/Pantai+Pisa/data=!4m7!3m6!1s0x2d726b79d868a2b1:0xd754da450621379d!8m2!3d-3.2813738!4d127.0366317!16s%2Fg%2F11vbfcll9s!19sChIJsaJo2Hlrci0RnTchBkXaVNc?authuser=0&hl=en&rclk=1,-3.2813738,127.0366317,bagus,3.0,Irul rumbia 4 reviews · 8 photos,,,,,,,,,,
Pantai Siring Pagar Haur,Kalimantan Selatan,5.0,https://www.google.com/maps/place/Pantai+Siring+Pagar+Haur/data=!4m7!3m6!1s0x2de59f644ac21579:0x592bec0586339337!8m2!3d-2.8573309!4d115.2865651!16s%2Fg%2F11sy_379bz!19sChIJeRXCSmSf5S0RN5MzhgXsK1k?authuser=0&hl=en&rclk=1,-2.8573309,115.2865651,bagus,4.0,,,,,,,,,,,
Pantai Ako,Pulau Buru,5.0,https://www.google.com/maps/place/Pantai+Ako/data=!4m7!3m6!1s0x2d72142400000001:0x2376bac92c3d5210!8m2!3d-3.1902253!4d127.0131926!16s%2Fg%2F11f1lbv8_g!19sChIJAQAAACQUci0REFI9LMm6diM?authuser=0&hl=en&rclk=1,-3.1902253,127.0131926,bagus,2.0,Jun Waetele 1 review,,,,,,,,,,
Pantai Waeperang,Pulau Buru,5.0,https://www.google.com/maps/place/Pantai+Waeperang/data=!4m7!3m6!1s0x2d723d000b4b5e41:0xcfb685910f7275f7!8m2!3d-3.1434484!4d126.9379459!16s%2Fg%2F11w7b_xbb9!19sChIJQV5LCwA9ci0R93VyD5GFts8?authuser=0&hl=en&rclk=1,-3.1434484,126.9379459,bagus,5.0,Lia Afianty TLA Channel 6 reviews · 3 photos,Marsela Latubessy 2 reviews,banp maluku 1 photo,Ridwan Tukuboya 1 photo,,,,,,,
Wisata pantai polo pantai,Sulawesi Barat,5.0,https://www.google.com/maps/place/Wisata+pantai+polo+pantai/data=!4m7!3m6!1s0x2d929b00720acd79:0xdc78c753141732f5!8m2!3d-2.2296875!4d119.1519375!16s%2Fg%2F11yn_zfrc9!19sChIJec0KcgCbki0R9TIXFFPHeNw?authuser=0&hl=en&rclk=1,-2.2296875,119.1519375,bagus,3.0,Gusti Putu raka  photos,,,,,,,,,,
Pantai Sungai Rengas,Kalimantan Tengah,5.0,https://www.google.com/maps/place/Pantai+Sungai+Rengas/data=!4m7!3m6!1s0x2e0921af2d7a79cf:0xc46f3d04005cbfff!8m2!3d-2.9355731!4d111.4712109!16s%2Fg%2F11rcbnm4b6!19sChIJz3l6La8hCS4R_79cAAQ9b8Q?authuser=0&hl=en&rclk=1,-2.9355731,111.4712109,bagus,10.0,camping,vacation spot,we R channel  review ·  photos,Ariyanto  photo,"Syarief  Local Guide ·  reviews · , photos",,,,,,
Pantai Bungsu,Kalimantan Tengah,5.0,https://www.google.com/maps/place/Pantai+Bungsu/data=!4m7!3m6!1s0x2e091f005121b8e7:0xcea73e3a9ea61351!8m2!3d-2.9443956!4d111.4891727!16s%2Fg%2F11nk7yj_p8!19sChIJ57ghUQAfCS4RUROmnjo-p84?authuser=0&hl=en&rclk=1,-2.9443956,111.4891727,bagus,1.0,,,,,,,,,,,
Pantai Salundik,Kalimantan Tengah,5.0,https://www.google.com/maps/place/Pantai+Salundik/data=!4m7!3m6!1s0x2de2152a1205187f:0xf603696860aab481!8m2!3d-3.1990307!4d112.964747!16s%2Fg%2F11vjfs0mnk!19sChIJfxgFEioV4i0RgbSqYGhpA_Y?authuser=0&hl=en&rclk=1,-3.1990307,112.964747,bagus,4.0,Yan Ti  review,,,,,,,,,,
Pantai Pawang Beguruh,Kalimantan Tengah,5.0,https://www.google.com/maps/place/Pantai+Pawang+Beguruh/data=!4m7!3m6!1s0x2e091f001b2590f5:0xca97bc9d7819abce!8m2!3d-2.9422363!4d111.4856238!16s%2Fg%2F11mygygkhj!19sChIJ9ZAlGwAfCS4RzqsZeJ28l8o?authuser=0&hl=en&rclk=1,-2.9422363,111.4856238,bagus,6.0,,,,,,,,,,,
Pantai jikubesar,Pulau Buru,5.0,https://www.google.com/maps/place/Pantai+jikubesar/data=!4m7!3m6!1s0x2d726d0056c0e2e5:0xda751ccc7061dc69!8m2!3d-3.2555295!4d127.1114007!16s%2Fg%2F11vzdkfz6j!19sChIJ5eLAVgBtci0RadxhcMwcddo?authuser=0&hl=en&rclk=1,-3.2555295,127.1114007,bagus,3.0,Adrian Bakker 3 reviews · 2 photos,,,,,,,,,,
Pantai Fatmite Beach,Pulau Buru,5.0,https://www.google.com/maps/place/Pantai+Fatmite+Beach/data=!4m7!3m6!1s0x2d72e67155555555:0x5d0a75552749338d!8m2!3d-3.7286775!4d126.7550147!16s%2Fg%2F11hbv2h49w!19sChIJVVVVVXHmci0RjTNJJ1V1Cl0?authuser=0&hl=en&rclk=1,-3.7286775,126.7550147,bagus,3.0,,,,,,,,,,,
Pantai Alumbango,Gorontalo,5.0,https://www.google.com/maps/place/Pantai+Alumbango/data=!4m7!3m6!1s0x3278d7604b33b9e5:0x4978a2c81bc33016!8m2!3d0.4906361!4d122.9512784!16s%2Fg%2F11pkc_xtgq!19sChIJ5bkzS2DXeDIRFjDDG8iieEk?authuser=0&hl=en&rclk=1,0.4906361,122.9512784,bagus,4.0,Ramdan Sayakulu  photos,Syahrul Yusuf  review ·  photos,,,,,,,,,
Pantai bongo,Gorontalo,5.0,https://www.google.com/maps/place/Pantai+bongo/data=!4m7!3m6!1s0x3279578dfa113c77:0x4d316aa12d64c4a9!8m2!3d0.9604638!4d122.9421579!16s%2Fg%2F11rckpmf9y!19sChIJdzwR-o1XeTIRqcRkLaFqMU0?authuser=0&hl=en&rclk=1,0.9604638,122.9421579,bagus,4.0,Nunu Djau  reviews ·  photos,Moh. Prasetyo Ismail  photos,Fatiah Koem  review,Arul Ismail  photos,,,,,,,
Pantai Waepure,Pulau Buru,5.0,https://www.google.com/maps/place/Pantai+Waepure/data=!4m7!3m6!1s0x2d73d100065eda93:0x301131a5c011dd2d!8m2!3d-3.0831606!4d126.4744374!16s%2Fg%2F11y6nwnmsx!19sChIJk9peBgDRcy0RLd0RwKUxETA?authuser=0&hl=en&rclk=1,-3.0831606,126.4744374,bagus,2.0,,,,,,,,,,,
Pantai Puri,Pulau Buru,5.0,https://www.google.com/maps/place/Pantai+Puri/data=!4m7!3m6!1s0x2d72a9001da573db:0x35e9782a8df74791!8m2!3d-3.9040789!4d127.217886!16s%2Fg%2F11yygb1km4!19sChIJ23OlHQCpci0RkUf3jSp46TU?authuser=0&hl=en&rclk=1,-3.9040789,127.217886,bagus,0.0,,,,,,,,,,,
Pantai Jikumerasa,Pulau Buru,5.0,https://www.google.com/maps/place/Pantai+Jikumerasa/data=!4m7!3m6!1s0x2d72170005a2575f:0x1995972fdffac16d!8m2!3d-3.1683819!4d127.0264779!16s%2Fg%2F11yb89l0x8!19sChIJX1eiBQAXci0RbcH63y-XlRk?authuser=0&hl=en&rclk=1,-3.1683819,127.0264779,bagus,2.0,Kiloan Haha 2 reviews,,,,,,,,,,
Pantai Koluwoka,Gorontalo,5.0,https://www.google.com/maps/place/Pantai+Koluwoka/data=!4m7!3m6!1s0x32796510267483c9:0xd9215d29d18823bb!8m2!3d0.944356!4d122.6095737!16s%2Fg%2F11q53c299m!19sChIJyYN0JhBleTIRuyOI0SldIdk?authuser=0&hl=en&rclk=1,0.944356,122.6095737,bagus,2.0,Andi Murjadi  review ·  photos,,,,,,,,,,
Pantai lopong,Pulau Buru,5.0,https://www.google.com/maps/place/Pantai+lopong/data=!4m7!3m6!1s0x2d726b007cbae6b7:0x4d24b47ce38d8efe!8m2!3d-3.275101!4d127.0339163!16s%2Fg%2F11l_8vpr51!19sChIJt-a6fABrci0R_o6N43y0JE0?authuser=0&hl=en&rclk=1,-3.275101,127.0339163,bagus,0.0,Rehandi Andi 4 photos,,,,,,,,,,
